epoch,dice_coefficient,learning_rate,loss,mean_io_u_2,precision_2,recall_2,val_dice_coefficient,val_loss,val_mean_io_u_2,val_precision_2,val_recall_2
0,0.2034292370080948,9.999999747378752e-05,0.764094352722168,0.38449543714523315,0.7209082841873169,0.34521734714508057,0.17057260870933533,0.7896001935005188,0.375,0.47397053241729736,0.32766789197921753
1,0.26104775071144104,9.999999747378752e-05,0.7135413885116577,0.3851202428340912,0.7574896812438965,0.46145784854888916,0.2195560783147812,0.7560855150222778,0.375,0.6019397377967834,0.5382192730903625
2,0.2926882803440094,9.999999747378752e-05,0.6848537921905518,0.3843424618244171,0.772860586643219,0.5150787234306335,0.2581179738044739,0.7149331569671631,0.375,0.6260009407997131,0.5572947859764099
3,0.31976595520973206,9.999999747378752e-05,0.6601682305335999,0.3850857615470886,0.7868435978889465,0.538895308971405,0.31001755595207214,0.6670401096343994,0.375,0.7614399194717407,0.726319432258606
4,0.34384068846702576,9.999999747378752e-05,0.6373177170753479,0.38368502259254456,0.7992926239967346,0.5820465087890625,0.27253803610801697,0.6996438503265381,0.37500256299972534,0.5967985987663269,0.5697306990623474
5,0.3642435371875763,9.999999747378752e-05,0.6180140972137451,0.38458362221717834,0.8098790049552917,0.5809967517852783,0.3272983431816101,0.641632616519928,0.37506192922592163,0.7861099243164062,0.7702947854995728
6,0.3844013512134552,9.999999747378752e-05,0.5983087420463562,0.38534706830978394,0.8241481184959412,0.5934305787086487,0.3787197172641754,0.6001577377319336,0.3750480115413666,0.8365174531936646,0.8250595927238464
7,0.4019479751586914,9.999999747378752e-05,0.5815103650093079,0.3850334584712982,0.8394769430160522,0.6051090955734253,0.38844335079193115,0.5860416293144226,0.3758232891559601,0.8543503880500793,0.8437570333480835
8,0.42217710614204407,9.999999747378752e-05,0.5609815120697021,0.38498353958129883,0.8572697639465332,0.6307656764984131,0.40660715103149414,0.5618909597396851,0.37502551078796387,0.8261247277259827,0.8222000598907471
9,0.4346969723701477,9.999999747378752e-05,0.5485687255859375,0.385105699300766,0.8689143061637878,0.6305923461914062,0.4255578815937042,0.5428374409675598,0.375659704208374,0.8979016542434692,0.8942693471908569
10,0.452040433883667,9.999999747378752e-05,0.5308896899223328,0.3848971724510193,0.8788849115371704,0.6445412039756775,0.431735634803772,0.5452975630760193,0.37525421380996704,0.8347784280776978,0.8320672512054443
11,0.46560630202293396,9.999999747378752e-05,0.5165379047393799,0.3844766914844513,0.8912572860717773,0.6574517488479614,0.4440566599369049,0.5260702967643738,0.3753999173641205,0.9025475382804871,0.8997861742973328
12,0.4754475951194763,9.999999747378752e-05,0.5063961744308472,0.383979856967926,0.8947599530220032,0.6778358817100525,0.47996675968170166,0.4811941981315613,0.37500181794166565,0.9267674088478088,0.9251488447189331
13,0.4854801893234253,9.999999747378752e-05,0.4953888952732086,0.38360583782196045,0.905473530292511,0.6817868947982788,0.4892312288284302,0.47359585762023926,0.375029593706131,0.961413562297821,0.9600499868392944
